Rank,url,College,Town
841,/reviews/5660.htm,Bowie State University,Bowie
169,/reviews/6275.htm,Bowling Green State University,Bowling Green ...
421,/reviews/5386.htm,Bradley University,Peoria
135,/reviews/5704.htm,Brandeis University,Waltham
1171,/reviews/16804.htm,Brandman University,Irvine
1557,/reviews/16805.htm,Brazosport College,Lake Jackson
1115,/reviews/5316.htm,Brenau University,Gainesville
1437,/reviews/5591.htm,Brescia University,Owensboro
1197,/reviews/6205.htm,Brevard College,Brevard
1484,/reviews/5317.htm,Brewton-Parker College,Mount Vernon
1343,/reviews/5528.htm,Briar Cliff University,Sioux City
1009,/reviews/6767.htm,Bridgewater College,Bridgewater
474,/reviews/5705.htm,Bridgewater State University,Bridgewater
60,/reviews/6732.htm,Brigham Young University,Provo
689,/reviews/5361.htm,Brigham Young University-Hawaii,Laie
248,/reviews/7288.htm,Brigham Young University-Idaho,Rexburg
931,/reviews/6057.htm,Brooklyn College,Brooklyn
766,/reviews/6052.htm,Brooklyn Law School,Brooklyn
431,/reviews/16806.htm,Broward College,Fort Lauderdale
58,/reviews/6524.htm,Brown University,Providence
1214,/reviews/6593.htm,Bryan College,Dayton ...
1729,/reviews/16807.htm,Bryan College of Health Sciences,Lincoln
1257,/reviews/6277.htm,Bryant and Stratton College,Buffalo ...
555,/reviews/6525.htm,Bryant University,Smithfield
1637,/reviews/6416.htm,Bryn Athyn College,Bryn Athyn
239,/reviews/6417.htm,Bryn Mawr College,Bryn Mawr
242,/reviews/6418.htm,Bucknell University,Lewisburg
974,/reviews/5529.htm,Buena Vista University,Storm Lake
986,/reviews/7700.htm,Buffalo State College,Buffalo
1496,/reviews/6389.htm,Bushnell University,Eugene
429,/reviews/5483.htm,Butler University,Indianapolis
Un,/reviews/16808.htm,Cabarrus College of Health Sciences,Concord
1203,/reviews/6419.htm,Cabrini University,Radnor
1511,/reviews/7728.htm,Cairn University,Langhorne ...
1179,/reviews/6002.htm,Caldwell University,Caldwell
830,/reviews/5014.htm,California Baptist University,Riverside ...
577,/reviews/5017.htm,California College of the Arts,San Francisco ...
608,/reviews/5019.htm,California Institute of Integral Studies,San Francisco
46,/reviews/5020.htm,California Institute of Technology,Pasadena
512,/reviews/5021.htm,California Institute of the Arts,Valencia
546,/reviews/5022.htm,California Lutheran University,Thousand Oaks
156,/reviews/5024.htm,"California Polytechnic State University, San Luis Obispo",San Luis Obispo
205,/reviews/5029.htm,"California State Polytechnic University, Pomona",Pomona
642,/reviews/5031.htm,California State University Channel Islands,Camarillo
1013,/reviews/5023.htm,California State University Maritime Academy,Vallejo
357,/reviews/5043.htm,California State University San Marcos,San Marcos ...
665,/reviews/5030.htm,"California State University, Bakersfield",Bakersfield
210,/reviews/5032.htm,"California State University, Chico",Chico
374,/reviews/5033.htm,"California State University, Dominguez Hills",Carson ...
422,/reviews/5036.htm,"California State University, East Bay",Hayward ...
298,/reviews/5034.htm,"California State University, Fresno",Fresno
155,/reviews/5035.htm,"California State University, Fullerton",Fullerton ...
138,/reviews/5037.htm,"California State University, Long Beach",Long Beach
337,/reviews/5038.htm,"California State University, Los Angeles",Los Angeles
522,/reviews/5039.htm,"California State University, Monterey Bay",Seaside
110,/reviews/5040.htm,"California State University, Northridge",Northridge
209,/reviews/5041.htm,"California State University, Sacramento",Sacramento
271,/reviews/5042.htm,"California State University, San Bernardino",San Bernardino ...
398,/reviews/5044.htm,"California State University, Stanislaus",Turlock ...
952,/reviews/6420.htm,California University of Pennsylvania,California
1194,/reviews/5045.htm,California Western School of Law,San Diego
1504,/reviews/5484.htm,Calumet College of St. Joseph,Whiting
1684,/reviews/5889.htm,Calvary University,Kansas City
218,/reviews/5780.htm,Calvin University,Grand Rapids
749,/reviews/14916.htm,Cambridge College,Boston ...
964,/reviews/6356.htm,Cameron University,Lawton ...
645,/reviews/6206.htm,Campbell University,Buies Creek
1090,/reviews/5592.htm,Campbellsville University,Campbellsville
651,/reviews/6053.htm,Canisius College,Buffalo
593,/reviews/6278.htm,Capital University,Columbus
864,/reviews/5661.htm,Capitol Technology University,Laurel
1079,/reviews/6866.htm,Cardinal Stritch University,Milwaukee
176,/reviews/5832.htm,Carleton College,Northfield
1112,/reviews/6421.htm,Carlow University,Pittsburgh
20,/reviews/6422.htm,Carnegie Mellon University,Pittsburgh ...
1620,/reviews/6239.htm,Carolina University,Winston Salem ...
1049,/reviews/5946.htm,Carroll College,Helena
891,/reviews/6867.htm,Carroll University,Waukesha ...
603,/reviews/6594.htm,Carson-Newman University,Jefferson City
688,/reviews/6868.htm,Carthage College,Kenosha
113,/reviews/6280.htm,Case Western Reserve University,Cleveland
1268,/reviews/6745.htm,Castleton University,Castleton
1133,/reviews/6207.htm,Catawba College,Salisbury
1410,/reviews/7683.htm,Cazenovia College,Cazenovia
1117,/reviews/6423.htm,Cedar Crest College,Allentown
487,/reviews/6281.htm,Cedarville University,Cedarville
943,/reviews/5615.htm,Centenary College of Louisiana,Shreveport
1430,/reviews/6003.htm,Centenary University,Hackettstown
1516,/reviews/4980.htm,Central Baptist College,Conway
1573,/reviews/16809.htm,Central Christian College of Kansas,McPherson
1711,/reviews/5891.htm,Central Christian College of the Bible,Moberly ...
900,/reviews/5530.htm,Central College,Pella
340,/reviews/5206.htm,Central Connecticut State University,New Britain
842,/reviews/5892.htm,Central Methodist University,Fayette
257,/reviews/5782.htm,Central Michigan University,Mount Pleasant
1457,/reviews/7684.htm,Central Penn College,Summerdale
1184,/reviews/6282.htm,Central State University,Wilberforce
401,/reviews/6815.htm,Central Washington University,Ellensburg ...
1493,/reviews/16810.htm,Centralia College,Centralia
852,/reviews/5593.htm,Centre College,Danville
1006,/reviews/5956.htm,Chadron State College,Chadron
1167,/reviews/5900.htm,Chamberlain University,Addison ...
1025,/reviews/5362.htm,Chaminade University of Honolulu,Honolulu
485,/reviews/6746.htm,Champlain College,Burlington ...
198,/reviews/5046.htm,Chapman University,Orange
1378,/reviews/5047.htm,Charles R. Drew University of Medicine and Science,Los Angeles
905,/reviews/6538.htm,Charleston Southern University,Charleston
732,/reviews/6424.htm,Chatham University,Pittsburgh
1163,/reviews/6425.htm,Chestnut Hill College,Philadelphia
1196,/reviews/6426.htm,Cheyney University of Pennsylvania,Cheyney
835,/reviews/5388.htm,Chicago State University,Chicago
1673,/reviews/11685.htm,Chipola College,Marianna
1586,/reviews/6208.htm,Chowan University,Murfreesboro
883,/reviews/6595.htm,Christian Brothers University,Memphis
626,/reviews/6769.htm,Christopher Newport University,Newport News
899,/reviews/6816.htm,City University of Seattle,Seattle ...
1213,/reviews/6539.htm,Claflin University,Orangeburg
482,/reviews/5049.htm,Claremont Graduate University,Claremont ...
530,/reviews/5050.htm,Claremont McKenna College,Claremont
770,/reviews/6427.htm,Clarion University of Pennsylvania,Clarion
658,/reviews/5318.htm,Clark Atlanta University,Atlanta
219,/reviews/5707.htm,Clark University,Worcester
1127,/reviews/5531.htm,Clarke University,Dubuque
1629,/reviews/6413.htm,Clarks Summit University,Clarks Summit
1474,/reviews/5957.htm,Clarkson College,Omaha
359,/reviews/6069.htm,Clarkson University,Potsdam ...
858,/reviews/5319.htm,Clayton State University,Morrow
1719,/reviews/7716.htm,Clear Creek Baptist Bible College,Pineville
1396,/reviews/5783.htm,Cleary University,Howell ...
105,/reviews/6540.htm,Clemson University,Clemson
1124,/reviews/6284.htm,Cleveland Institute of Art,Cleveland
1266,/reviews/6285.htm,Cleveland Institute of Music,Cleveland
249,/reviews/6286.htm,Cleveland State University,Cleveland
1556,/reviews/16812.htm,Cleveland University-Kansas City,Overland Park
537,/reviews/6541.htm,Coastal Carolina University,Conway ...
928,/reviews/5532.htm,Coe College,Cedar Rapids
1416,/reviews/6542.htm,Coker University,Hartsville
251,/reviews/5639.htm,Colby College,Waterville
1221,/reviews/5984.htm,Colby-Sawyer College,New London
355,/reviews/6070.htm,Colgate University,Hamilton
915,/reviews/5784.htm,College for Creative Studies,Detroit
1705,/reviews/7717.htm,College of Biblical Studies,Houston ...
1444,/reviews/16814.htm,College of Central Florida,Ocala
282,/reviews/6543.htm,College of Charleston,Charleston
1624,/reviews/16815.htm,College of Coastal Georgia,Brunswick
1389,/reviews/6072.htm,College of Mount Saint Vincent,The Bronx
1377,/reviews/5712.htm,College of Our Lady of the Elms,Chicopee
380,/reviews/5833.htm,College of Saint Benedict/Saint John's University,St. Joseph ...
1383,/reviews/5958.htm,College of Saint Mary,Omaha
761,/reviews/16817.htm,College of Southern Nevada,Las Vegas
1450,/reviews/6059.htm,College of Staten Island,Staten Island
1186,/reviews/5640.htm,College of the Atlantic,Bar Harbor
348,/reviews/5708.htm,College of the Holy Cross,Worcester
1207,/reviews/5895.htm,College of the Ozarks,Point Lookout
125,/reviews/6770.htm,College of William & Mary,Williamsburg
706,/reviews/5174.htm,Colorado Christian University,Lakewood
412,/reviews/5175.htm,Colorado College,Colorado Springs ...
816,/reviews/5185.htm,Colorado Mesa University,Grand Junction
382,/reviews/5176.htm,Colorado School of Mines,Golden
73,/reviews/5177.htm,Colorado State University,Fort Collins
1166,/reviews/5202.htm,Colorado State University-Pueblo,Pueblo ...
682,/reviews/5178.htm,Colorado Technical University,Colorado Springs ...
1423,/reviews/16818.htm,Columbia Basin College,Pasco
660,/reviews/5896.htm,Columbia College,Columbia
473,/reviews/5390.htm,Columbia College Chicago,Chicago
1542,/reviews/16821.htm,Columbia College Hollywood,Tarzana
1318,/reviews/6544.htm,"Columbia College, South Carolina",Columbia
1121,/reviews/6545.htm,Columbia International University,Columbia
6,/reviews/6075.htm,Columbia University in the City of New York,New York City
1022,/reviews/6288.htm,Columbus College of Art and Design,Columbus
734,/reviews/5320.htm,Columbus State University,Columbus
1236,/reviews/6845.htm,Concord University,Athens
861,/reviews/5836.htm,Concordia College,Moorhead
1162,/reviews/6076.htm,Concordia College-New York,Bronxville
1433,/reviews/5785.htm,Concordia University Ann Arbor,Ann Arbor
1142,/reviews/5391.htm,Concordia University Chicago,River Forest
860,/reviews/5057.htm,Concordia University Irvine,Irvine
949,/reviews/6647.htm,Concordia University Texas,Austin
753,/reviews/6869.htm,Concordia University Wisconsin,Mequon
1135,/reviews/5959.htm,"Concordia University, Nebraska",Seward
746,/reviews/5837.htm,"Concordia University, St. Paul",Saint Paul
